STATION,DATE,PRCP,TMAX,TMIN
USW00014739,1950-01-01,0,44,32
USW00014739,1950-01-02,0.01,40,31
USW00014739,1950-01-03,0.07,56,40
USW00014739,1950-01-04,0,64,55
USW00014739,1950-01-05,0.03,61,45
USW00014739,1950-01-06,0.72,45,37
USW00014739,1950-01-07,0.3,38,25
USW00014739,1950-01-08,0,25,6
USW00014739,1950-01-09,0,38,9
USW00014739,1950-01-10,0.66,41,23
USW00014739,1950-01-11,0,49,25
USW00014739,1950-01-12,0,34,18
USW00014739,1950-01-13,0.19,52,31
USW00014739,1950-01-14,0,63,37
USW00014739,1950-01-15,0,41,30
USW00014739,1950-01-16,0.13,53,33
USW00014739,1950-01-17,0,35,29
USW00014739,1950-01-18,0.32,51,30
USW00014739,1950-01-19,0,30,21
USW00014739,1950-01-20,0,27,14
USW00014739,1950-01-21,0.07,24,14
USW00014739,1950-01-22,0.26,38,24
USW00014739,1950-01-23,0,47,37
USW00014739,1950-01-24,0.36,42,26
USW00014739,1950-01-25,0,41,24
USW00014739,1950-01-26,0,72,41
USW00014739,1950-01-27,0.05,53,21
USW00014739,1950-01-28,0,37,17
USW00014739,1950-01-29,0.12,62,35
USW00014739,1950-01-30,0.01,52,28
USW00014739,1950-01-31,0.56,32,19
USW00014739,1950-02-01,0,35,21
USW00014739,1950-02-02,0.23,39,32
USW00014739,1950-02-03,0,38,26
USW00014739,1950-02-04,0,39,23
USW00014739,1950-02-05,0,28,15
USW00014739,1950-02-06,0.1,41,25
USW00014739,1950-02-07,0,28,14
USW00014739,1950-02-08,0,26,6
USW00014739,1950-02-09,0.15,52,23
USW00014739,1950-02-10,0,45,33
USW00014739,1950-02-11,0.02,40,32
USW00014739,1950-02-12,0,47,30
USW00014739,1950-02-13,0,38,30
USW00014739,1950-02-14,0.56,34,30
USW00014739,1950-02-15,1.31,38,29
USW00014739,1950-02-16,0.04,34,25
USW00014739,1950-02-17,0,41,32
USW00014739,1950-02-18,0,36,30
USW00014739,1950-02-19,0.01,42,27
USW00014739,1950-02-20,0,27,0
USW00014739,1950-02-21,0,20,-1
USW00014739,1950-02-22,0.86,33,12
USW00014739,1950-02-23,0.42,35,22
USW00014739,1950-02-24,0,44,23
USW00014739,1950-02-25,0,37,16
USW00014739,1950-02-26,0,26,7
USW00014739,1950-02-27,0,16,3
USW00014739,1950-02-28,0.11,33,9
USW00014739,1950-03-01,0.07,40,23
USW00014739,1950-03-02,0,24,11
USW00014739,1950-03-03,0,16,4
USW00014739,1950-03-04,0,26,2
USW00014739,1950-03-05,0,46,19
USW00014739,1950-03-06,0,44,16
USW00014739,1950-03-07,0,38,14
USW00014739,1950-03-08,0.2,55,31
USW00014739,1950-03-09,0.22,57,14
USW00014739,1950-03-10,0,29,14
USW00014739,1950-03-11,0,36,19
USW00014739,1950-03-12,0,51,32
USW00014739,1950-03-13,0.31,34,25
USW00014739,1950-03-14,0.15,36,22
USW00014739,1950-03-15,0,43,24
USW00014739,1950-03-16,0,37,23
USW00014739,1950-03-17,0,38,20
USW00014739,1950-03-18,0.34,38,23
USW00014739,1950-03-19,0,46,20
USW00014739,1950-03-20,0,49,29
USW00014739,1950-03-21,0.16,39,34
USW00014739,1950-03-22,0,45,32
USW00014739,1950-03-23,1.21,44,36
USW00014739,1950-03-24,0.05,46,35
USW00014739,1950-03-25,0,47,38
USW00014739,1950-03-26,0,55,34
USW00014739,1950-03-27,0.11,44,39
USW00014739,1950-03-28,0.16,62,39
USW00014739,1950-03-29,0.01,70,43
USW00014739,1950-03-30,0,43,30
USW00014739,1950-03-31,0,40,26
USW00014739,1950-04-01,0,49,30
USW00014739,1950-04-02,0.1,59,40
USW00014739,1950-04-03,0.01,60,39
USW00014739,1950-04-04,0.08,75,48
USW00014739,1950-04-05,0.11,63,44
USW00014739,1950-04-06,0,45,30
USW00014739,1950-04-07,0,42,28
USW00014739,1950-04-08,0,46,32
USW00014739,1950-04-09,0,44,32
USW00014739,1950-04-10,0,50,30
USW00014739,1950-04-11,0.05,46,33
USW00014739,1950-04-12,0,55,35
USW00014739,1950-04-13,0.13,46,37
USW00014739,1950-04-14,0.34,47,34
USW00014739,1950-04-15,0.01,49,35
USW00014739,1950-04-16,0,62,38
USW00014739,1950-04-17,0,67,42
USW00014739,1950-04-18,0,74,53
USW00014739,1950-04-19,0,56,42
USW00014739,1950-04-20,0.32,63,45
USW00014739,1950-04-21,0.39,55,45
USW00014739,1950-04-22,0,53,40
USW00014739,1950-04-23,0.01,52,40
USW00014739,1950-04-24,0,58,40
USW00014739,1950-04-25,0,53,39
USW00014739,1950-04-26,0.52,46,39
USW00014739,1950-04-27,0,59,38
USW00014739,1950-04-28,0.11,61,43
USW00014739,1950-04-29,0.2,50,42
USW00014739,1950-04-30,0,62,40
USW00014739,1950-05-01,0.39,48,41
USW00014739,1950-05-02,0,70,41
USW00014739,1950-05-03,0,60,48
USW00014739,1950-05-04,0,62,48
USW00014739,1950-05-05,0,53,47
USW00014739,1950-05-06,0,80,49
USW00014739,1950-05-07,0,76,43
USW00014739,1950-05-08,0,58,35
USW00014739,1950-05-09,0,72,43
USW00014739,1950-05-10,0.37,65,47
USW00014739,1950-05-11,0,67,55
USW00014739,1950-05-12,0,70,50
USW00014739,1950-05-13,0,78,53
USW00014739,1950-05-14,0,57,43
USW00014739,1950-05-15,0,54,44
USW00014739,1950-05-16,0,55,45
USW00014739,1950-05-17,0,59,47
USW00014739,1950-05-18,0.09,53,46
USW00014739,1950-05-19,0.3,49,45
USW00014739,1950-05-20,0.01,55,46
USW00014739,1950-05-21,0,77,45
USW00014739,1950-05-22,0,68,42
USW00014739,1950-05-23,0,76,45
USW00014739,1950-05-24,0,71,53
USW00014739,1950-05-25,0.02,61,51
USW00014739,1950-05-26,0,68,51
USW00014739,1950-05-27,0,64,51
USW00014739,1950-05-28,0,63,46
USW00014739,1950-05-29,0.16,65,54
USW00014739,1950-05-30,0.21,66,55
USW00014739,1950-05-31,0,70,58
USW00014739,1950-06-01,0.17,72,57
USW00014739,1950-06-02,0,81,56
USW00014739,1950-06-03,0.02,83,64
USW00014739,1950-06-04,0.23,72,55
USW00014739,1950-06-05,0,77,53
USW00014739,1950-06-06,0,84,56
USW00014739,1950-06-07,0,84,65
USW00014739,1950-06-08,0,93,70
USW00014739,1950-06-09,0,93,70
USW00014739,1950-06-10,0.01,87,66
USW00014739,1950-06-11,0.04,76,57
USW00014739,1950-06-12,0,77,52
USW00014739,1950-06-13,0,79,55
USW00014739,1950-06-14,0,73,55
USW00014739,1950-06-15,0,76,61
USW00014739,1950-06-16,0,79,58
USW00014739,1950-06-17,0.44,76,52
USW00014739,1950-06-18,0,73,50
USW00014739,1950-06-19,0,64,53
USW00014739,1950-06-20,0,78,56
USW00014739,1950-06-21,0.13,81,61
USW00014739,1950-06-22,0,75,57
USW00014739,1950-06-23,0,90,60
USW00014739,1950-06-24,0.04,90,59
USW00014739,1950-06-25,0,80,59
USW00014739,1950-06-26,0,78,59
USW00014739,1950-06-27,0.02,73,60
USW00014739,1950-06-28,0,78,60
USW00014739,1950-06-29,0,83,63
USW00014739,1950-06-30,0,77,62
USW00014739,1950-07-01,0,73,61
USW00014739,1950-07-02,0,85,61
USW00014739,1950-07-03,0.04,86,67
USW00014739,1950-07-04,0.98,83,66
USW00014739,1950-07-05,0.1,79,66
USW00014739,1950-07-06,0.11,82,67
USW00014739,1950-07-07,0,83,62
USW00014739,1950-07-08,0,88,66
USW00014739,1950-07-09,0,81,64
USW00014739,1950-07-10,0,75,63
USW00014739,1950-07-11,0.09,79,65
USW00014739,1950-07-12,0.03,85,72
USW00014739,1950-07-13,0.04,91,70
USW00014739,1950-07-14,0,80,65
USW00014739,1950-07-15,0,74,60
USW00014739,1950-07-16,0,73,62
USW00014739,1950-07-17,0,84,62
USW00014739,1950-07-18,0.02,93,72
USW00014739,1950-07-19,0,86,66
USW00014739,1950-07-20,0.03,72,59
USW00014739,1950-07-21,0,76,56
USW00014739,1950-07-22,0,79,60
USW00014739,1950-07-23,0,77,61
USW00014739,1950-07-24,0,78,60
USW00014739,1950-07-25,0,86,66
USW00014739,1950-07-26,0,81,67
USW00014739,1950-07-27,0,86,64
USW00014739,1950-07-28,0,88,66
USW00014739,1950-07-29,0,89,67
USW00014739,1950-07-30,0,92,68
USW00014739,1950-07-31,0.01,93,70
USW00014739,1950-08-01,0.62,76,60
USW00014739,1950-08-02,0,69,58
USW00014739,1950-08-03,0.01,72,60
USW00014739,1950-08-04,0,83,62
USW00014739,1950-08-05,0.08,77,61
USW00014739,1950-08-06,0.05,68,59
USW00014739,1950-08-07,0,70,56
USW00014739,1950-08-08,0,76,57
USW00014739,1950-08-09,0,87,64
USW00014739,1950-08-10,0,85,71
USW00014739,1950-08-11,0,85,64
USW00014739,1950-08-12,0,73,58
USW00014739,1950-08-13,0,77,58
USW00014739,1950-08-14,0,78,62
USW00014739,1950-08-15,0,82,61
USW00014739,1950-08-16,0,85,67
USW00014739,1950-08-17,0,84,67
USW00014739,1950-08-18,0,86,67
USW00014739,1950-08-19,0.68,82,67
USW00014739,1950-08-20,1.32,74,67
USW00014739,1950-08-21,0,80,61
USW00014739,1950-08-22,0,76,58
USW00014739,1950-08-23,0,78,64
USW00014739,1950-08-24,0,80,62
USW00014739,1950-08-25,0,79,64
USW00014739,1950-08-26,0.03,86,64
USW00014739,1950-08-27,0,85,67
USW00014739,1950-08-28,0,87,67
USW00014739,1950-08-29,0.12,86,71
USW00014739,1950-08-30,0,72,60
USW00014739,1950-08-31,0.23,68,62
USW00014739,1950-09-01,0.15,86,67
USW00014739,1950-09-02,0,80,66
USW00014739,1950-09-03,0.21,66,62
USW00014739,1950-09-04,0.11,79,58
USW00014739,1950-09-05,0.01,67,53
USW00014739,1950-09-06,0,71,53
USW00014739,1950-09-07,0,83,57
USW00014739,1950-09-08,0,78,62
USW00014739,1950-09-09,0,85,63
USW00014739,1950-09-10,0,75,62
USW00014739,1950-09-11,0.22,62,56
